worker	sentence	workeranswer
worker92	279	That's what she doesn't want to express in a word.
worker92	848	How long will it take to be delivered?
worker92	22	First, her face just came up in my head.
worker92	504	He mistakenly put salt in his coffee.
worker92	728	He often goes to school late.
worker92	906	I'm going  to meet her again in the near future.
worker92	186	god knows.
worker92	481	Make sure you made a room reservation at the hotel.
worker92	708	I met a girl who I've seen her in the park last week.
worker92	916	It's too late to know the differences.
worker24	467	I am glad because it is snowing a lot.
worker24	893	It is 11 pm now, time for bed.
worker24	788	There were times when I could not trust others.
worker24	152	Mary broke into a cold sweat with the teacher's words.
worker24	95	I want you to tidy up the room ASAP.
worker24	301	You can contact him at his place tonight.
worker24	253	These two politicians met with each other face to face for the first time.
worker24	306	We walked several minutes to come to the park.
worker24	261	It is too heavy for me to hold.
worker24	104	The aircraft from Chicago arrived at the airport late at nigh.
worker93	380	The boys often tricked on the teacher.
worker93	565	I am going to help my father's work.
worker93	33	She take me on the tour in town kindly.
worker93	671	He's known everybody in this town.
worker93	393	It's fun to travel by car.
worker93	429	It's best soaking in the bath tub when you're tired.
worker93	90	He hardly goes to watch movies.
worker93	805	Please take memo what she tells you.
worker93	931	He told me that he wants to quit the company.
worker93	745	The man who is waving to me is my uncle.
worker13	553	I buy a ticket just a little.
worker13	801	I went to the station to see my uncle.
worker13	878	He only has best talent among my friends. 
worker13	646	I always take a walk early in the morning.
worker13	450	You can go to the station by any road.
worker13	283	Don't give money more than required to a child.
worker13	202	Harry was late for school, because of his accident.
worker13	567	I stopped working for two or three houras to go to hospital.
worker13	524	I don't want to go to outside without the coat, because today is such a cold.
worker13	712	You have to read the book which is useful for you.
worker94	17	I went to see him, he was out.
worker94	555	Today is very hot, so we can swim in the ocean.
worker94	378	Because I do not want to see myself who was at a loss anymore.
worker94	373	It used to be like that in the past.
worker94	51	Every day, I will be back by six o'clock.
worker94	173	Since I started this work he is better off.
worker94	196	I have no idea what she is going to do.
worker94	334	It is certain that the plane will get there on time.
worker94	363	The thief ran away to the station.
worker94	87	I thought that I should not sit down.
worker92	888	I found a book which I lost yesterday.
worker92	549	Newspapers are very worth in today's world.
worker92	10	Let's go home before the heavy rain start.
worker92	309	She is very kindly carry my package.
worker92	288	I can't meet you due to rush work.
worker92	444	I met my classmate on the street yesterday.
worker92	128	Tom has been talking on the phone for an hour.
worker92	256	I owe you 1 dollar.
worker92	315	You'll be on time if it's not storm.
worker92	462	My pen is too old so I want a new one.
worker24	123	After finished reading, return the book where it was.
