worker	sentence	label
worker0	#0707	He got approval of the mayor in advance.
worker0	#0380	Many think the way he is on a diet.
worker0	#0338	He actively transmits and exchanges child-rearing information in the area.
worker0	#0529	I was very interested in touching soft teeth.
worker0	#0520	The current medical system is very problematic.
worker0	#0534	It has a certain influence on the policy decision of the U.S. government.
worker0	#0617	Weekly schedule setting is possible easily.
worker0	#0329	We will do all the other related work besides that.
worker0	#0283	It has a function to promote blood circulation.
worker0	#0526	There were many contents that can be applied to classes at once.
worker1	#0527	In the film there were many erotic scenes.
worker1	#0221	Left wing group and counterforce have argued. 
worker1	#0733	Realistically I felt people who come front is the winner.
worker1	#0364	Don't do following things when this service is supplied.
worker1	#0476	The best balance is the out of rage a little bit.
worker1	#0336	The professor had a lecture about this main topic. 
worker1	#0042	Passport which has some length of dates left is required .
worker1	#0265	There is a shop which is 1 hour away by car from here.
worker1	#0611	It makes possible to do things in real time whenever you want.
worker1	#0193	He will ask the pre-discussion to the mayor.
worker2	#0626	You can change the password easily.
worker2	#0318	A mid-term withdrawal is a person whose membership period is less than 15 years and age is less than 60 years old.
worker2	#0363	Our Company set up the venue.
worker2	#0553	It has almost the same performance as asphalt mixture.
worker2	#0541	One software has both functions.
worker2	#0413	He saw another work by this author in July.
worker2	#0396	Thinking about environmental issues and future directions.
worker2	#0029	He set the deadline for submitting the plan within one year.
worker2	#0111	He will help you make dinner and sweets together.
worker2	#0386	The rest is what the people who read it think.
worker3	#0374	He will do the prescribed entrance examination in advance.
worker3	#0066	Our staff will help you with your work.
worker3	#0359	The program automatically buys and sells stocks.
worker3	#0558	That has a lot to do with our lives.
worker3	#0335	He gave a 18 minute presentation on that title.
worker3	#0344	He will practice for an hour and a half in the gymnasium.
worker3	#0536	That has a big meaning for Yamada.
worker3	#0220	Most people are trained in action.
worker3	#0284	Of course, we have a duty of confidentiality.
worker3	#0562	He has two things that she likes.
worker4	#0298	There is one such thing on most islands.
worker4	#0532	It has the power to drive sales.
worker4	#0564	It has a pretty good deodorant effect.
worker4	#0309	80% of shops use homemade noodles.
worker4	#0273	There is still time until the meeting time.
worker4	#0350	We will check the contents of the order for all customers.
worker4	#0717	I received a report that the operation of the public vehicle priority system has started.
worker4	#0099	It is for those who secretly enjoy wearing women's clothes.
worker4	#0585	He was dressed all in leather and carried a camera in his hand.
worker4	#0074	The representatives of the children thanked their parents and grandparents.
worker5	#0681	A directory access error goes out.
worker5	#0308	Mr. Yamada told me to have been relieved.
worker5	#0038	The people who had trouble with their recognition shou are doing cohabitation.
worker5	#0710	That undergoes influence of the Mediterranean Sea culture.
worker5	#0566	Some volatile substances have a inhibiting germination action.
worker5	#0716	He has the explanation of the class contents from Mr. Yamada.
worker5	#0173	 A consumer does a subscription in a credit card company.
worker5	#0622	A patient with chronic sharp pain and cancerous sharp pain can be treated.
worker5	#0384	I consider 2 ways specifically.
worker5	#0705	When taking out advertising goods, I have to get mayor's permission beforehand.
worker6	#0744	It was received instructions from Thirties.
worker6	#0646	Each other taked return trip with very satisfied.
worker6	#0548	Many people has a nagetive image to the word.
worker6	#0079	I called a lot of company for please.
worker6	#0462	He saw screen of personal computer cross over Yamada.
worker6	#0357	It calculated finished time with automaticaly.
worker6	#0747	Many people received benefit from the service.
worker6	#0018	I think lost the time for fifty times.
worker6	#0692	Such a person was saw from TV sometimes.
worker6	#0279	Yamada told he had a hard time.
worker7	#0383	I am always thinking of such a thing.
worker7	#0244	It helps to prevent tooth decay very much.
worker7	#0288	The report said that the committee wanted to make it complete in this year.
worker7	#0143	He kisses her lips in the morning.
worker7	#0361	He is doing marketing consulting service for small and medium-sized enterprises. 
worker7	#0745	He awarded the  Disaster prevention contributor from prime minister.
worker7	#0702	Regularly we got an inspection from local government agency.
worker7	#0204	Those who do not know anything about building a house make such calculation.
worker7	#0067	This aims to develop the clinical research and 
worker7	#0015	I hope he will always be the presence of clouds.
