worker	sentence	label
truenoAE101	#0707	He got approval of the mayor in advance.
truenoAE101	#0380	Many think the way he is on a diet.
truenoAE101	#0338	He actively transmits and exchanges child-rearing information in the area.
truenoAE101	#0529	I was very interested in touching soft teeth.
truenoAE101	#0520	The current medical system is very problematic.
truenoAE101	#0534	It has a certain influence on the policy decision of the U.S. government.
truenoAE101	#0617	Weekly schedule setting is possible easily.
truenoAE101	#0329	We will do all the other related work besides that.
truenoAE101	#0283	It has a function to promote blood circulation.
truenoAE101	#0526	There were many contents that can be applied to classes at once.
nanasehirano51	#0527	In the film there were many erotic scenes.
nanasehirano51	#0221	Left wing group and counterforce have argued. 
nanasehirano51	#0733	Realistically I felt people who come front is the winner.
nanasehirano51	#0364	Don't do following things when this service is supplied.
nanasehirano51	#0476	The best balance is the out of rage a little bit.
nanasehirano51	#0336	The professor had a lecture about this main topic. 
nanasehirano51	#0042	Passport which has some length of dates left is required .
nanasehirano51	#0265	There is a shop which is 1 hour away by car from here.
nanasehirano51	#0611	It makes possible to do things in real time whenever you want.
nanasehirano51	#0193	He will ask the pre-discussion to the mayor.
mosa1017	#0626	You can change the password easily.
mosa1017	#0318	A mid-term withdrawal is a person whose membership period is less than 15 years and age is less than 60 years old.
mosa1017	#0363	Our Company set up the venue.
mosa1017	#0553	It has almost the same performance as asphalt mixture.
mosa1017	#0541	One software has both functions.
mosa1017	#0413	He saw another work by this author in July.
mosa1017	#0396	Thinking about environmental issues and future directions.
mosa1017	#0029	He set the deadline for submitting the plan within one year.
mosa1017	#0111	He will help you make dinner and sweets together.
mosa1017	#0386	The rest is what the people who read it think.
tomur106	#0374	He will do the prescribed entrance examination in advance.
tomur106	#0066	Our staff will help you with your work.
tomur106	#0359	The program automatically buys and sells stocks.
tomur106	#0558	That has a lot to do with our lives.
tomur106	#0335	He gave a 18 minute presentation on that title.
tomur106	#0344	He will practice for an hour and a half in the gymnasium.
tomur106	#0536	That has a big meaning for Yamada.
tomur106	#0220	Most people are trained in action.
tomur106	#0284	Of course, we have a duty of confidentiality.
tomur106	#0562	He has two things that she likes.
hiroshi1624	#0298	There is one such thing on most islands.
hiroshi1624	#0532	It has the power to drive sales.
hiroshi1624	#0564	It has a pretty good deodorant effect.
hiroshi1624	#0309	80% of shops use homemade noodles.
hiroshi1624	#0273	There is still time until the meeting time.
hiroshi1624	#0350	We will check the contents of the order for all customers.
hiroshi1624	#0717	I received a report that the operation of the public vehicle priority system has started.
hiroshi1624	#0099	It is for those who secretly enjoy wearing women's clothes.
hiroshi1624	#0585	He was dressed all in leather and carried a camera in his hand.
hiroshi1624	#0074	The representatives of the children thanked their parents and grandparents.
rino_0811	#0681	A directory access error goes out.
rino_0811	#0308	Mr. Yamada told me to have been relieved.
rino_0811	#0038	The people who had trouble with their recognition shou are doing cohabitation.
rino_0811	#0710	That undergoes influence of the Mediterranean Sea culture.
rino_0811	#0566	Some volatile substances have a inhibiting germination action.
rino_0811	#0716	He has the explanation of the class contents from Mr. Yamada.
rino_0811	#0173	 A consumer does a subscription in a credit card company.
rino_0811	#0622	A patient with chronic sharp pain and cancerous sharp pain can be treated.
rino_0811	#0384	I consider 2 ways specifically.
rino_0811	#0705	When taking out advertising goods, I have to get mayor's permission beforehand.
tanpopo_yellow	#0744	It was received instructions from Thirties.
tanpopo_yellow	#0646	Each other taked return trip with very satisfied.
tanpopo_yellow	#0548	Many people has a nagetive image to the word.
tanpopo_yellow	#0079	I called a lot of company for please.
tanpopo_yellow	#0462	He saw screen of personal computer cross over Yamada.
tanpopo_yellow	#0357	It calculated finished time with automaticaly.
tanpopo_yellow	#0747	Many people received benefit from the service.
tanpopo_yellow	#0018	I think lost the time for fifty times.
tanpopo_yellow	#0692	Such a person was saw from TV sometimes.
tanpopo_yellow	#0279	Yamada told he had a hard time.
mm1101	#0383	I am always thinking of such a thing.
mm1101	#0244	It helps to prevent tooth decay very much.
mm1101	#0288	The report said that the committee wanted to make it complete in this year.
mm1101	#0143	He kisses her lips in the morning.
mm1101	#0361	He is doing marketing consulting service for small and medium-sized enterprises. 
mm1101	#0745	He awarded the  Disaster prevention contributor from prime minister.
mm1101	#0702	Regularly we got an inspection from local government agency.
mm1101	#0204	Those who do not know anything about building a house make such calculation.
mm1101	#0067	This aims to develop the clinical research and 
mm1101	#0015	I hope he will always be the presence of clouds.
truenoAE101	#0761	For me it is not necessary to have a wheelchair at all.
truenoAE101	#0135	A lot of people took a commemorative photo.
truenoAE101	#0158	The contract will be done by the shopping company.
truenoAE101	#0704	She had surgery for breast cancer at a university hospital five years ago.
truenoAE101	#0278	There are many places in the whole country that are the scenes of autumnal leaves and the stage of Noh music.
truenoAE101	#0268	I have a safe image about Japanese food.
truenoAE101	#0414	I will see more details on related products of early childhood education.
truenoAE101	#0394	I am planning on December 4th.
truenoAE101	#0100	People who are interested in Africa exchange information and opinions.
truenoAE101	#0584	Most people had time to meditate.
nanam-	#0407	Cows judge us from a big eye patiently.
nanam-	#0256	I completely have no relation in whether that's made my company.
nanam-	#0620	Chinese noodles making can be experienced actually
nanam-	#0326	He does an improvement study of a processing technology mainly
nanam-	#0240	Many students have a part time job
nanam-	#0011	I think that's a movie in a Showa early stage
nanam-	#0782	There is no spiritual culture which brings self-control up in Japan yet
nanam-	#0353	A city office is administrative document, not free, it's being distributed
nanam-	#0572	We have results in more than 30 in many entertainment facilities and commercial establishment
nanam-	#0332	We aid the necessary one of nursing with daily life
hysq77	#0052	Second grade junior high school did workplace  experience.
hysq77	#0545	One tree is male and female both properties.
hysq77	#0561	Each have a character each.
hysq77	#0724	I already had consultations more than 1,000 all countory.
hysq77	#0209	Crafty man is pretends to be the leader of the fool.
hysq77	#0070	People of committee did on greetings.
hysq77	#0151	To the resident of European area, I do not sell the products.
hysq77	#0235	Mother of Yamada took counsel   a teacher.
hysq77	#0709	Everyone receive １２month education at school to become a player
hysq77	#0105	He works a scaffold-related work in a building company
mm1101	#0628	I can not create a new post on my blog recently.
mm1101	#0223	The people who is completely doing everything will fail to do.
mm1101	#0549	31 people have something disable to their body.
mm1101	#0769	There are tons of examples which I misunderstood.
mm1101	#0381	The local governments should think how to make happiness.
mm1101	#0457	It is like I saw a scene of movie.
mm1101	#0673	The fever reached 40 degrees straightly.
mm1101	#0282	There is a word in bibles.
mm1101	#0418	For more information, please visit the company’s website.
mm1101	#0588	Each has unique tastes and smells.
kos12	#0514	There are many English companies in leading logistic companies in Europe.
kos12	#0408	He looks state of open day tentatively.
kos12	#0218	Days from 1st to 15th are transfer period of tax certificate.
kos12	#0615	Network connection can be done easily through cellphone with cordless.
kos12	#0455	Neighborhood saw that the child is taken away.
kos12	#0531	Such person has absolute confidence in himself almost.
kos12	#0365	He does front sitting in national assembly and council request action from 11 o'clock to 1 o'clock.
kos12	#0567	Each one has mood of the age.
kos12	#0345	Our hotel makes meeting with event organizer in advance.
kos12	#0530	You should have more interest about problems of entire society.
truenoAE101	#0339	From time to time, the supplier repaired the dangerous part.
truenoAE101	#0474	The sound of the second hand of the watch is very comfortable to the ear.
truenoAE101	#0739	You have to get the town mayor's decision.
truenoAE101	#0366	For new customers, staff will explain fees, contents, etc. in advance.
truenoAE101	#0005	I think Yamada is a type of person liked by everyone.
truenoAE101	#0340	In case of many applicants, he will adjust the schedule.
truenoAE101	#0341	From time to time, he will make changes in functions and correct matters.
truenoAE101	#0296	There is a trade-off between index creation cost and search cost.
truenoAE101	#0233	Splenectomy takes 56% by 5 years of age.
truenoAE101	#0232	I am excited about the Pacific League fans myself from now.
hikari_work1795	#0331	We provide information of infection and medical for health care worker.
hikari_work1795	#0773	There is no reason that such a miserable young crew belongs to the institution.
hikari_work1795	#0440	Long time no see,I watched the wide show in the evening.
hikari_work1795	#0129	The staff have a meeting with craftsman.
hikari_work1795	#0694	I saw the same scene in a movie.
