sentence	trueanswer
#0005	I think that Yamada is the type everybody likes.
#0010	I think this was made around the Momoyama Period.
#0011	I think this movie is from the early Showa Period.
#0015	I don't want to be better than him.
#0018	If I spend fifty hours, I feel like I wasted my time.
#0029	He set a within-the-year deadline for the proposed plans.
#0034	30.2% of people take salesperson opinion into account.
#0038	People suffering from dementia are living together.
#0042	There should be a definite term remaining on the passport.
#0049	You shortened the moving time to 1 second.
#0052	The junior high 8th graders went to observe workplaces.
#0063	The total budget is 2.84 million yen.
#0066	Our staff can help you create it.
#0067	Our purpose is improving the development of clinical approaches and the standards of medical practice.
#0070	Committee members conducted a greeting exercise.
#0074	The representative of the children expressed words of thanks for their parents and grandparents.
#0079	I called quite a few companies to ask for that.
#0083	It will be examined by a qualified diamond appraiser.
#0099	It is targeted at those who secretly enjoy dressing in drag.
#0100	Those who have interests in Africa exchange information and ideas with each other.
#0105	He is engaged in a scaffolding-related work at a construction company.
#0106	Reset the product to the factory default settings.
#0111	He helps to cook the dinner and desserts
#0129	The people in charge will meet with the craftsmen.
#0135	Many people took photos to remember it by.
#0141	Yesterday, 4 people reported the awards to Mayor Yamada.
#0143	He gave her a morning kiss on her lips.
#0151	Merchandise is not sold to European residents.
#0156	We provide services to alleviate your family's burden.
#0157	The two actresses firmly attracted male fans’ attention.
#0158	That contract is to be signed by the shopping company.
#0169	Yamada and Sato practice singing together.
#0171	Mr. Yamada and the sound guy arranged the time and other details.
#0173	Consumers apply to the credit card company.
#0181	The boss' powerful words were dizzying
#0185	People in front of me have expectations on me.
#0189	It was decided that plans should be submitted within one year.
#0193	He asks the mayor to make preliminary arrangements.
#0195	Students in the first grade learned how to play the harmonica.
#0196	More than 15 million people go on overseas trips.
#0204	Someone who didn't know anything about house-building would come up with a figure like that.
#0209	Smart people pretend to be a dumb.
#0215	He requests information materials from each insurance company.
#0218	The certificate of tax payment must be sent between the 1st and the 15th.
#0220	The majority of people have action training.
#0221	The left-wingers and dissidents had a discussion.
#0223	Even the one we thought could do it perfectly could mess up.
#0230	The person who saw it gave a warning.
#0232	I'm getting excited as a Pacific League fan.
#0233	56% of them had their spleens removed by the age of 5.
#0235	Yamada's mother consulted with the teacher.
#0240	Many students have part-time jobs.
#0244	It is very effective in preventing tooth decay.
#0249	For phase II syphilis, all of them are at risk of infection.
#0256	That has absolutely nothing to do with being friends or not.
#0265	There is a shop about an hour's drive from here.
#0268	I have an impression that Japanese foods are safe.
#0270	I tend to love people who act devotedly.
#0271	There are many encoding methods.
#0273	There is a while before the scheduled time.
